Défi,Livrable,Tâche,Fait le,Cat,OK
Lab Santé,Ateliers projet R,"augmentation périmètre ateliers, recueil de la demande formation R, cartographie des agents DREES",<2018-04-14 sam.>,CT,1
Lab Santé,Ateliers projet R,Atelier #2,<2018-04-14 sam.>,CT,1
Lab Santé,Simplex,Reunion simplex : “découverte” (surprise) d’outils concurrents par SSII geoclip,<2018-04-14 sam.>,CU,-1
Prédisauvetage,,Création et documentation du nouveau schéma de la base de données CROSS,<2018-04-14 sam.>,P,
Prédisauvetage,,Argumentaire en faveur de l'ouverture des données CROSS,<2018-04-14 sam.>,P,
Prédisauvetage,,Présentation de notre volonté d'ouverture au Directeur adjoint des Affaires Maritimes,<2018-04-14 sam.>,M,
Prédisauvetage,,Atelier d'idéation sur les services de demain autour des données maritimes,<2018-04-14 sam.>,U,
Prédisauvetage,,Réunion avec les membres du SNONSAN pour définir les stats et infos à présenter au COPIL de mai,<2018-04-14 sam.>,M,
Prédisauvetage,,Elaboration des statistiques/graphiques souhaitées,<2018-04-14 sam.>,P,
Signaux Faibles,,Littérature sur le sur-échantillonnage et la catégorisation de séries temporelles.,<2018-04-14 sam.>,D,
Signaux Faibles,,Intégration de plusieurs nouveaux ratios financiers,<2018-04-14 sam.>,D,
Signaux Faibles,,Rencontre de l'équipe technique DGFIP qui travaille également sur un modèle prédicif de défaillance d'entreprises,<2018-04-14 sam.>,C,1
Signaux Faibles,,Présentation du projet Signaux-Faibles au [[http://www.cip-national.fr/qui-sont-les-cip][CIP]],<2018-04-14 sam.>,C,
Signaux Faibles,,Rencontre et échanges techniques avec Nota-PME,<2018-04-14 sam.>,C,
Signaux Faibles,,Rencontre reportée d'Olivia Grégoire pour discuter du défi signaux faibles,<2018-04-14 sam.>,C,-1
Signaux Faibles,,Analyse de la gestion des lots d'intégration,<2018-04-14 sam.>,D,
Signaux Faibles,,"Workflow golang -> rajout de services data qui servent du JSON, CORS pour frontend vuejs/material.",<2018-04-14 sam.>,D,
Signaux Faibles,,Wordflow owncloud -> pas bougé de chez pas bougé,<2018-04-14 sam.>,D,-1
Signaux Faibles,,Conservation de l'information des entreprises signalées sur fichier excel,<2018-04-14 sam.>,U,
Signaux Faibles,,Génération des prédictions passées pour grapher l'évolution des indicateurs,<2018-04-14 sam.>,D,
Signaux Faibles,,Analyse en vue de stocker les résultats du feature engineering en mode versionning,<2018-04-14 sam.>,D,
Signaux Faibles,,PR #1406 de la page signaux faibles poussée sur beta.gouv.fr,<2018-04-14 sam.>,P,1
Signaux Faibles,,"Prise en main de vuejs, vue-material, vue-axios, vue-plotly + POC REST/Json avec golang et gingonic",<2018-04-14 sam.>,AP,
b@liseNAV,Front,"Librairie SVG de symboles nautiques, gestion des styles CSS des SVGs",<2018-04-20 ven.>,P,-1
b@liseNAV,Dam-Shom,Documentation des requêtes SQL utilisées pour le rapprochement entre l...,<2018-04-20 ven.>,T,1
b@liseNAV,Dam-Shom,Revue des dernières propositions pour norme S-124 (suite),<2018-04-20 ven.>,P,-1
b@liseNAV,Code,Segmentation du code pour publication Git privé,<2018-04-20 ven.>,P,1
b@liseNAV,Humanitaire,Participation à un mapathon de cartographie Nord Madagascar sur OpenSt...,<2018-04-20 ven.>,D,1
b@liseNAV,Communication interne,Publication du code sur git privé,<2018-04-20 ven.>,C,
b@liseNAV,Communication interne,Présentation des objectifs et stratégie technique B@liseNAV en vu des p...,<2018-04-20 ven.>,C,
b@liseNAV,Open-Source,Accord de notre mentor pour créer un compte Github Shom/BaliseNAV à l’...,<2018-04-20 ven.>,CDP,1
b@liseNAV,Données,Récupération de fichiers décrivant l’emprise géographique des Instruct...,<2018-04-20 ven.>,D,1
b@liseNAV,Communicat...,"Bouclage du calendrier mai 2018 en fonction des congés, grèves, télétra...",<2018-04-20 ven.>,C,
b@liseNAV,Brainstorming,Préparation d’un atelier de brainstorming “Le web et le Shom”,<2018-04-20 ven.>,T,
CoachÉlève,,Rencontre avec Educlever pour faire une convention d'échange de données,<2018-04-20 ven.>,C,1
CoachÉlève,,"Discussion avec Axel Jean sur l'appel d'offre du MEN pour les ""banques de ressources 2.0""",<2018-04-20 ven.>,C,
CoachÉlève,,Définition d'un quick win data avec DNE B2.2 (Bruno Panaget),<2018-04-20 ven.>,M,1
CoachÉlève,,Installation de Learrnig Locker (LRS xAPI),<2018-04-20 ven.>,I,
CoachÉlève,,Rencontre avec les membres d'OLPC France pour discuter de Sugarizer,<2018-04-20 ven.>,C,1
CoachÉlève,,Étude de faisabilité d'x-apisation de Anki (applicage de Spaced Repetition Learning),<2018-04-20 ven.>,Q,
DataESR,Front app - Etablissement,Intégration des évolutions temporelles des établissements,<2018-04-20 ven.>,P,
DataESR,Front app - Etablissement,Homogénéisation du design de la page,<2018-04-20 ven.>,P,
DataESR,Front app - Admin,"Administration des tables de categories (liens, code, évolutions, types)",<2018-04-20 ven.>,P,
DataESR,API,Ajout de endpoints,<2018-04-20 ven.>,P,
DataESR,API,Modification du modèle de la DB,<2018-04-20 ven.>,P,
DataESR,,Réunion interne sur la 2e brique de l’app :  Les laboratoires,<2018-04-20 ven.>,C,
DataESR,Modèle,Analyse et publication d'un premier modèle pour classer 4 classes basé sur la nomenclature SCOPUS,<2018-04-20 ven.>,P,
DataESR,Modèle,Test de Fasttext (plus rapide à sortir un modèle),<2018-04-20 ven.>,P,
EIG Node,,Retour de Paul !,<2018-04-20 ven.>,M,1
EIG Node,,"Travail sur le site v2 (contenu, intégration, issues)",<2018-04-20 ven.>,P,
EIG Node,,Rédaction et publication de contenu blog,<2018-04-20 ven.>,P,
EIG Node,,Travail sur le bilan EIG1 - en cours de finalisation,<2018-04-20 ven.>,P,
EIG Node,,Préparation de l'appel à projets EIG3,<2018-04-20 ven.>,P,
EIG Node,,Sourcing des défis EIG 3,<2018-04-20 ven.>,M,
EIG Node,,Écriture du mémo en anglais,<2018-04-20 ven.>,P,
EIG Node,,Premiers entretiens « Que sont-ils devenus ? »,<2018-04-20 ven.>,P,
EIG Node,,Prise de contact avec Dora et Tiphaine pour leurs articles (en rédaction),<2018-04-20 ven.>,M,
EIG Node,,Suivi de la proposition de la Gazette des communes,<2018-04-20 ven.>,C,
EIG Node,,Budgétisation offsite,<2018-04-20 ven.>,M,
EIG Node,,"Prestataires : goodies (soon), motion design (specs), matériel informatique",<2018-04-20 ven.>,P,
EIG Node,,Le crowdsourcing « Vos rêves de données » [[https://lite.framacalc.org/EIG2____Donnees][continue]],<2018-04-20 ven.>,D,
Gobelins,,Plan d’attaque campagne photo + doc pour direction,<2018-04-20 ven.>,MP,
Gobelins,,Wireframes,<2018-04-20 ven.>,UP,
Gobelins,,Classification objet pour utilisateur + retour régie,<2018-04-20 ven.>,UP,
Gobelins,,Communauté d’intérêt (inspecteur + régie des collections),<2018-04-20 ven.>,M,
Gobelins,,Droit des agents + thesaurus + écosystème avec Bastien,<2018-04-20 ven.>,A,
Gobelins,,Droits typo / validation Com,<2018-04-20 ven.>,MC,
Gobelins,,Quick win : intégration des photos dans la BDD Textiles (inspecteurs),<2018-04-20 ven.>,T,
Gobelins,,Obtention et exploitation d’un schéma graphique de SCOM,<2018-04-20 ven.>,D,
Hopkins,,Fin de la mise à jour des collecteurs,<2018-04-20 ven.>,P,
Hopkins,,Matching de startrac avec cosi_1 (10h),<2018-04-20 ven.>,P,
Hopkins,,Premier test de l'interface de validation de MatchID,<2018-04-20 ven.>,P,
Hopkins,,Intégration d’un nouveau dataset à GraphExplorer,<2018-04-20 ven.>,P,
Hopkins,,Installation de matchID sur VM 64Go,<2018-04-20 ven.>,I,
Hopkins,,Tutos Sketch et production de maquettes d'une v1.0 de GraphExplorer,<2018-04-20 ven.>,AP,
Prédisauvetage,,Accord de la DAM pour mettre en Open Data les données des interventions des CROSS,<2018-04-20 ven.>,D,1
Prédisauvetage,,Finalisation des statistiques et des rapports pour le COPIL,<2018-04-20 ven.>,P,
Prédisauvetage,,Aide aux enquêtes sur des accidents maritimes notables cette semaine,<2018-04-20 ven.>,D,
Prédisauvetage,,Réunion afin de collecter les retours de possibles utilisateurs sur la carto,<2018-04-20 ven.>,U,
Prédisauvetage,,Création d'un [[https://github.com/entrepreneur-interet-general/open_api_schemas_to_markdown][outil]] pour générer une partie de la documentation open data,<2018-04-20 ven.>,P,
Prédisauvetage,,Parsing de documents textes d'interventions,<2018-04-20 ven.>,P,
Prévisecours,Prédiction,"Nettoyage, doc et automat. des projets de rapatriement opendata (suite et fin)",<2018-04-20 ven.>,P,1
Prévisecours,Prédiction,"Nettoyage, doc et automat. des projets de featuring des interventions",<2018-04-20 ven.>,P,1
Prévisecours,Prédiction,"Nettoyage, doc et automat. des projets de prédiction des interventions (début)",<2018-04-20 ven.>,P,1
Prévisecours,Prédiction,Featuring et modéles de prédiction sur les incendies (début),<2018-04-20 ven.>,P,1
Prévisecours,ProgrammeEIG,Travail sur une version de blog post sur la notion d'Intérêt Général,<2018-04-20 ven.>,C,1
Prévisecours,Opendata,Séparation data météo / calendaire,<2018-04-20 ven.>,P,1
Prévisecours,Opendata,Intégration data soldes 2014-2019 dans le projet calendaire,<2018-04-20 ven.>,P,1
Prévisecours,Product,Intégration des zones de couverture de casernesdans les webapp,<2018-04-20 ven.>,P,1
SocialConnect,,Lancement de la version beta du site de SocialConnect,<2018-04-20 ven.>,C,1
SocialConnect,,Réunion COPIL pour présenter la version beta du site,<2018-04-20 ven.>,M,
SocialConnect,,Présentation du produit au dircab du Ministère de la Cohésion des Territoires,<2018-04-20 ven.>,M,
SocialConnect,,"Réunion mentor-EIGs, à la fois importante et productive",<2018-04-20 ven.>,M,
SocialConnect,,Rencontre avec la DGEFP : collaboration pour la valorisation d'openscraper,<2018-04-20 ven.>,M,
SocialConnect,,Rencontre avec Kawaa : réflexions sur des pistes de collaboration idem DGEFP,<2018-04-20 ven.>,M,
SocialConnect,,Rencontre avec OpenTeam : réflexions sur des pistes de collaboration idem DGEFP,<2018-04-20 ven.>,M,
SocialConnect,,Réunion avec Fédé. Nat. des Caisses d'Epargne pour expérimenter Carrefour auprès caisses régionales (Elise),<2018-04-20 ven.>,M,
SocialConnect,,Amélioration de divers éléments de front (Julien),<2018-04-20 ven.>,P,
SocialConnect,,Récupération des premiers retours utilisateurs (Elise),<2018-04-20 ven.>,U,
SocialConnect,,Organisation avec les référents comm du collectif des réponses mails aux premiers utilisateurs,<2018-04-20 ven.>,M,
SocialConnect,,Continuer à dessiner les écrans manquants du site (Elise),<2018-04-20 ven.>,P,
SocialConnect,,Amélioration du backoffice du site pour mieux gérer les retours utilisateurs (Julien),<2018-04-20 ven.>,P,
Archifiltre,,Fonctionnalité de détection des doublons.,<2018-04-21 sam.>,P,
Archifiltre,,En cours : Refonte de l'appli pour se libérer de D3,<2018-04-21 sam.>,P,
Archifiltre,,En cours : Changement de framework CSS pour du meilleur Responsive,<2018-04-21 sam.>,P,
Archifiltre,,Atelier de présentation de l'outil à tout le service des archives,<2018-04-21 sam.>,U,
Archifiltre,[[https://twitter.com/archifiltre][@archifiltre]],Communication auprès d'archivistes de France et de Navarre sur le projet !,<2018-04-21 sam.>,C,
Archifiltre,,Accueil d'Inès !,<2018-04-21 sam.>,M,
EIG Link,Site v2,Avancée sur le contenu du futur site,<2018-04-21 sam.>,P,
EIG Link,Animation,Lancement de l’Étalab talk du 4 mai,<2018-04-21 sam.>,P,1
EIG Link,Animation,Lancement d’un wiki·data·gouv,<2018-04-21 sam.>,P,1
EIG Link,Animation,Programmation EIG Off sur l’open source,<2018-04-21 sam.>,P,
EIG Link,,Mise à jour de https://www.etalab.gouv.fr/lequipe,<2018-04-21 sam.>,P,1
EIG Link,Ouverture,Atelier à Étalab sur l’ouverture du code source,<2018-04-21 sam.>,P,
EIG Link,Suivi,Point licences et projet avec Brigade Numérique,<2018-04-21 sam.>,M,
EIG Link,Animation,Ajout de Ned sur le serveur de calcul,<2018-04-21 sam.>,P,
EIG Link,Animation,Installation plugin Gantt pour board.eig-forever.org,<2018-04-21 sam.>,P,
EIG Link,,Présentation de la session EIG du 16 mai devant les DSI,<2018-04-21 sam.>,M,
EIG Link,Suivi,Déjeuner SocialConnect,<2018-04-21 sam.>,M,1
EIG Link,Suivi,Retours test de cis-openscraper,<2018-04-21 sam.>,P,
EIG Link,Suivi,Envoi du retour udata de Tiphaine,<2018-04-21 sam.>,M,
EIG Link,Animation,Participation au bureau ouvert de Paula Fortezza,<2018-04-21 sam.>,M,
EIG Link,Suivi,CR de la réunion Gobelins,<2018-04-21 sam.>,PM,
EIG Link,Suivi,CR de l’atelier « apprendre »,<2018-04-21 sam.>,PM,
EIG Link,,RDV au MinCul pour https://beta.gouv.fr/startup/pop.html,<2018-04-21 sam.>,M,
EIG Link,,RDV au MinCul pour le suivi de l’inventaire des orgues,<2018-04-21 sam.>,M,1
Signaux Faibles,,Looong entretien avec deux chargés de mission futurs utilisateurs,<2018-04-21 sam.>,U,1
Signaux Faibles,,Evaluation de kanboard pour motoriser workflow de signalements/visites d'entreprises,<2018-04-21 sam.>,A,
Signaux Faibles,,Rencontre de 2 statisticiennes de l'Urssaf pour continuer comprendre leurs bases et de leur compréhension de nos calculs,<2018-04-21 sam.>,U,1
Signaux Faibles,,Analyse en vue de stocker les résultats du feature engineering en mode versionning,<2018-04-21 sam.>,DP,
Signaux Faibles,,Intégration d'un nouveau fichier urssaf pour la liaison entre leurs comptes et nos sirets,<2018-04-21 sam.>,D,1
Signaux Faibles,,Tentative de production d'un nouveau fichier de prédiction sur la base mongodb (pas avancé),<2018-04-21 sam.>,P,-1
Signaux Faibles,,Intégration d'un référentiel entreprise dans la base mongodb pour enrichir les fichiers de résultat (en cours),<2018-04-21 sam.>,D,1
Signaux Faibles,,Test de graphJS vs Plotly. (graphjs wins),<2018-04-21 sam.>,D,1
Signaux Faibles,,"Recherche et mise en place d'un middleware gingonic pour traiter l'authentification, les attributions et les tokens JWT",<2018-04-21 sam.>,A,
Signaux Faibles,,Mise en production du nouvel algorithme,<2018-04-21 sam.>,P,1
Signaux Faibles,,Première découverte de la weak supervision. À creuser.,<2018-04-21 sam.>,A,1
Signaux Faibles,,Premiers pas avec Chart.js pour de la visualisation,<2018-04-21 sam.>,AC,1
Signaux Faibles,,Premiers essais de structure de repository data + moulinettes pour s'y promener,<2018-04-21 sam.>,D,1
BrigadeNumérique,,"Réunions (3 au total: Dila, police) sur la plateforme commune gendarmerie-police dédiée aux vi...",<2018-04-22 dim.>,M,
BrigadeNumérique,,Réunions et cadrage du projet de mise en ligne des horaires d’accueil des brigades de gendarme...,<2018-04-22 dim.>,M,
BrigadeNumérique,,Travail sur l’article pour de l’inauguration de la BNum.,<2018-04-22 dim.>,M,
BrigadeNumérique,,Travail d’écriture du doc de cadrage de l’outil de prise de RdV.,<2018-04-22 dim.>,M,
BrigadeNumérique,,Point licences et projet avec Bastien.,<2018-04-22 dim.>,M,
BrigadeNumérique,,Atelier centré base de données et développement de l’outil de prise de RdV.,<2018-04-22 dim.>,P,
BrigadeNumérique,,Suivi déploiement de la plateforme de gestion de communication multicanal,<2018-04-22 dim.>,P,
BrigadeNumérique,,Déploiement du chat Easiwware sur les sites secondaire de la gendarmerie,<2018-04-22 dim.>,M,
BrigadeNumérique,,Préparation et animation (avec Soizic) de l’atelier pitch.,<2018-04-22 dim.>,M,
Lab Santé,Code,Dictionnaire des codes : récupération du formatage associé au texte en exploitant le contenu xml issu du .docx,<2018-04-22 dim.>,P,1
Lab Santé,Réunion,Discussion avec Paul Juan autour des projets en santé chez BayesImpact,<2018-04-22 dim.>,M,1
Lab Santé,Séminaire,La chirurgie bariatrique en France : bonne accessibilité ou mauvaises pratiques ?,<2018-04-22 dim.>,M,1
Lab Santé,Distancier,"d)Test serveur OSRM, première table de durée commune à commune (chef lieu)",<2018-04-22 dim.>,DIT,1
Lab Santé,Simplex,Rencontre PMO ATIH => réunion geoclip pour intégration du simplex dans [[http://cartographie.atih.sante.fr][scansanté]],<2018-04-22 dim.>,TM,1
Lab Santé,Formation,R perfectionnement sur 2 jours (logistique et encadrement des sessions de pratique),<2018-04-22 dim.>,T,1
Lab Santé,Fun,"Discussion calmar et package GUSTAVE (estimation variance d'estimateurs de variance, quantile etc...)",<2018-04-22 dim.>,A,1
Lab Santé,Simplex,Webex avec statisticiens représentants 9 Agences Régionales de Santé => usages et besoins pour Simplex.,<2018-04-22 dim.>,MC,1
Lab Santé,Indicateurs de santé,struggle encodage de code .R et de données en .xlsx,<2018-04-22 dim.>,P,-1
Lab Santé,Indicateurs de santé,scraping search engines pour développer mesures pertinences entre tag et nom d'indicateurs,<2018-04-22 dim.>,P,-1
Lab Santé,Indicateurs de santé,vectorization sur text indicateurs,<2018-04-22 dim.>,P,-1
Archifiltre,,Migration de React + D3 vers du Full React,<2018-04-27 ven.>,P,
Archifiltre,,Migration de MDL vers Foundation,<2018-04-27 ven.>,P,
Archifiltre,,L'appli est maintenant mise en cache et vous pouvez y accéder hors ligne...,<2018-04-27 ven.>,P,
Archifiltre,,"Échange avec la mission écologie, qui travaille sur des sujets connexes",<2018-04-27 ven.>,C,
b@liseNAV,Front,Librairie SVG de symboles nautiques,<2018-04-27 ven.>,P,1
b@liseNAV,Front,"intégration des styles en inline dans les SVGs, réglage du centrage par...",<2018-04-27 ven.>,P,
b@liseNAV,,Réunion avec notre nouveau référent technique pour le SNI,<2018-04-27 ven.>,M,-1
b@liseNAV,,Revue des dernières propositions pour la norme S-124,<2018-04-27 ven.>,CP,
b@liseNAV,,Récupération des cartes nautiques Shom par scraping,<2018-04-27 ven.>,D,
b@liseNAV,,Packaging des premiers livrables,<2018-04-27 ven.>,P,
b@liseNAV,,Préparation d’une session de brainstorming “Le Shom et le Web”,<2018-04-27 ven.>,TC,
b@liseNAV,,Notre session brainstorming “Le Shom et le Web” a été reporté sine die,<2018-04-27 ven.>,TC,-1
b@liseNAV,,Test fichiers MNT,<2018-04-27 ven.>,D,
b@liseNAV,,Analyse messages NAVAREA,<2018-04-27 ven.>,D,
b@liseNAV,,Developpement JS Module S-201,<2018-04-27 ven.>,P,
CoachÉlève,Décrochage,Rencontre entre mentors et équipe opérationnel pour collaboration sur la détection du décrochage scolaire,<2018-04-27 ven.>,M,1
CoachÉlève,Décrochage,"Point technique sur le stack du projet ""décrochage scolaire""",<2018-04-27 ven.>,I,1
CoachÉlève,BDD Centrale,Premier NDA signé avec l’entreprise EDUCLEVER,<2018-04-27 ven.>,M,1
CoachÉlève,Gouvernance des données,Maquette pour la refonte du site implémentant la gouvernance des données,<2018-04-27 ven.>,C,1
EIG Node,,Finalisation du cahier des charges pour l'appel à projets EIG3 et envoi au COPI...,<2018-04-27 ven.>,P,1
EIG Node,,Travail sur le formulaire de réponse au cahier des charges,<2018-04-27 ven.>,P,
EIG Node,,Interviews « Que sont-ils devenus ? »,<2018-04-27 ven.>,P,
EIG Node,,Préparation de l'atelier d'écriture du 2 mai,<2018-04-27 ven.>,P,
EIG Node,,Préparation motion design,<2018-04-27 ven.>,P,
Gobelins,,Classification des matériaux pour utilisateur,<2018-04-27 ven.>,UP,1
Gobelins,,Maquette MVP (en cours),<2018-04-27 ven.>,P,
Gobelins,,Validation avec la direction des différentes campagnes de prises de vues (Interne + ...,<2018-04-27 ven.>,M,
Gobelins,,Échange avec Maud Choquet + Bruno Ricard sur le droit des agents publics et les contra...,<2018-04-27 ven.>,M,
Gobelins,,Motivation de la personne se chargeant de la manutention pour la numérisation,<2018-04-27 ven.>,M,
Gobelins,,Réservation de la photographe interne pour les fonds « arts graphique »,<2018-04-27 ven.>,M,
Gobelins,,"Prise de RDV avec le bureau de l’innovation, ministère de la culture",<2018-04-27 ven.>,M,
Gobelins,,Tentatives infructueuses de mettre en place un export automatisé de la base SCOM,<2018-04-27 ven.>,D,-1
Gobelins,,Prise de contact avec la société en charge de la maintenance de la base SCOM,<2018-04-27 ven.>,D,
Hopkins,,Modifications de dashboards à des fins de communication externe (conférence lutte co...,<2018-04-27 ven.>,P,
Hopkins,,Generation dataset de pays pour graph explorer,<2018-04-27 ven.>,P,
Hopkins,,Debug matchid -> + d'espace disque sur la vm,<2018-04-27 ven.>,P,
Hopkins,,Prise en main webapp de la webapp graph explorer,<2018-04-27 ven.>,P,
Hopkins,,Nouvelle version de la web app graph explorer intégrant du search,<2018-04-27 ven.>,P,
Hopkins,,Déjeuner avec le service d’analyse stratégique,<2018-04-27 ven.>,U,
Lab Santé,Distancier,Ajout bonne conf serveur nginx,<2018-04-27 ven.>,P,1
Lab Santé,Distancier,Premiers utilisateurs DREES du distancier OSRM,<2018-04-27 ven.>,T,1
Lab Santé,Formation,Relance pour la formation python (juin),<2018-04-27 ven.>,M,1
Lab Santé,Formation,Revue partielle et déploiement d’une app en privée sur shinyapps,<2018-04-27 ven.>,TP,1
Lab Santé,Indicateurs de santé,Appropriation du code de l’app actuelle de saisie des tags et début de refonte,<2018-04-27 ven.>,P,
Lab Santé,Formation,Veille sur diverses packages d’analyse de séries temporelles en R pour aider 2 projets “comptes de la santé” SYN/BACS,<2018-04-27 ven.>,A,-1
Lab Santé,Simplex,Rencontre MC3/GeoClip pour présenter simplex et discuter de l’intégration de l’outil dans la solution GeoClip,<2018-04-27 ven.>,M,
Lab Santé,Atelier projets R,Nouveau projet séries temporelles + reporting de screenshot carto leaflet depuis shiny + cf points distancier,<2018-04-27 ven.>,T,1
Lab Santé,Atelier projets R,"Toujours échec pour la création de rapport pdf depuis shiny, pour l’instant on ne maîtrise que les .html",<2018-04-27 ven.>,P,-1
Lab Santé,Code,Dictionnaire des codes : exploitation du formatage récupéré pour générer le rapport automatiquement,<2018-04-27 ven.>,P,1
Lab Santé,Interface,Utilisation de Flask pour un webservice en python qui permettra de gérer la génération du rapport et du dictionnaire,<2018-04-27 ven.>,I,1
Prédisauvetage,,Finalisation des statistiques et des rapports pour le copil (venue de collègues de Bretagne),<2018-04-27 ven.>,P,
Prédisauvetage,,ETL pour préparer les données CROSS pour l'open data et pour nous,<2018-04-27 ven.>,D,
Prédisauvetage,,Parsing de documents textes d'interventions,<2018-04-27 ven.>,P,
Prédisauvetage,,Discussions avec des collègues DGITM transports intéressés par la cartographie réalisée précédemment,<2018-04-27 ven.>,M,
Prédisauvetage,,Tentative d'accès aux données brutes des compte-rendus d'opérations en CROSS,<2018-04-27 ven.>,D,
Prévisecours,Prédiction,Choix des features principales,<2018-04-27 ven.>,P,
Prévisecours,Prédiction,"Nettoyage, documentation et automatisation des projets de prédiction des interventions",<2018-04-27 ven.>,P,
Prévisecours,,Fork Cartav et montée en compétence dessus,<2018-04-27 ven.>,A,
Prévisecours,,Écriture + Publication d’un package npm de conversion de GeoJson en lambert93 vers un geoJson en GPS,<2018-04-27 ven.>,P,
Prévisecours,,Publication d’un starter kit [vueJS + python FlaskRest] sur le repo EIG (mini-wetransfer),<2018-04-27 ven.>,P,
Prévisecours,,Installation de plantes dans le bureau,<2018-04-27 ven.>,M,
Signaux Faibles,,Revue de la liste de prédiction du nouveau modèle.,<2018-04-27 ven.>,CT,1
Signaux Faibles,,Continuer à coder frontend et backend.,<2018-04-27 ven.>,P,1
Signaux Faibles,,Sketch de l'application et des workflow utilisateurs.,<2018-04-27 ven.>,P,
Signaux Faibles,,Moulinette pour choper les fichiers,<2018-04-27 ven.>,P,1
Signaux Faibles,,Dispatch des visites d'entreprise.,<2018-04-27 ven.>,U,1
Signaux Faibles,,Récupération de l'ancien système de suivi de visite.,<2018-04-27 ven.>,U,-1
Signaux Faibles,,Clinique AdminSys,<2018-04-27 ven.>,A,1
SocialConnect,,"J+10 depuis le lancement : 322 personnes inscrites, 56 messages... #WTF",<2018-04-27 ven.>,C,
SocialConnect,,Présentation aux personnels du CGET de notre nouveau commissaire général Serge Morvan par notre ministre...,<2018-04-27 ven.>,M,
SocialConnect,,Réflexion / corrections sur le nouveau rétroplanning à horizon novembre...,<2018-04-27 ven.>,M,
SocialConnect,,Mailing aux premiers utilisateurs et préparation d'un formulaire Frama pour le canevas de réponse-types,<2018-04-27 ven.>,U,
SocialConnect,,Continuer à dessiner les écrans manquants du site,<2018-04-27 ven.>,P,
SocialConnect,,Planification des sessions de retours utilisateurs,<2018-04-27 ven.>,P,
SocialConnect,,"Nouveau point d'API sur OpenScraper pour récupérer infos générales sur le dataset (modèle de données, dé...",<2018-04-27 ven.>,P,
SocialConnect,,"Amélioration du moteur de recherche : implémentation des filtres par pseudo-hashtags, certains créés à l...",<2018-04-27 ven.>,P,
SocialConnect,,"Amélioration du moteur de recherche : loader, ""no results"", modif de nginx pour permettre des requêtes e...",<2018-04-27 ven.>,P,
SocialConnect,,Implémentation de premières métriques Mix Panel,<2018-04-27 ven.>,P,
SocialConnect,,"Suivi de l'EIG-off ""admin sys"" animé par Christophe",<2018-04-27 ven.>,A,
Archifiltre,,Optimisations des perf post-migration,<2018-05-04 ven.>,P,
Archifiltre,,Possibilité de taguer et de renommer des dossiers et fichiers,<2018-05-04 ven.>,P,
b@liseNAV,,Session EIG Documentation,<2018-05-04 ven.>,T,
b@liseNAV,,Packaging des premiers livrables,<2018-05-04 ven.>,P,
b@liseNAV,,Documentation des packages,<2018-05-04 ven.>,C,
b@liseNAV,,Préparation de la session brainstorming “Le Shom et le Web”,<2018-05-04 ven.>,TC,
b@liseNAV,,Recherche autour de l’argumentaire pour l’Open Data,<2018-05-04 ven.>,T,
b@liseNAV,,Revue de la présentation d’Henri Verdier Government as a Platform (et a...,<2018-05-04 ven.>,T,
b@liseNAV,,Synthèse et documentation du rapprochement Aladin et S-57,<2018-05-04 ven.>,PC,
b@liseNAV,,Préparation pour la réalisation d’une API pour le SNI,<2018-05-04 ven.>,P,
b@liseNAV,,Achat des noms de domaine balisenav.com et balisenav.fr,<2018-05-04 ven.>,C,
EIG Link,Animation,Publication entrée de blog sur Framasoft,<2018-05-04 ven.>,P,1
EIG Link,Animation,Participation après-midi documenthaton,<2018-05-04 ven.>,MP,
EIG Link,Ouverture,Organisation wiki·data·gouv,<2018-05-04 ven.>,M,
EIG Link,Ouverture,Étalab talk sur The Mother of All Demos,<2018-05-04 ven.>,P,1
Gobelins,,Maquettes,<2018-05-04 ven.>,P,1
Gobelins,,Recherches autour de l’intégration de la base du nuancier (base NIMES),<2018-05-04 ven.>,D,
Gobelins,,Échanges/réunions autour des partenariats possibles pour la campagne photo (Google A...,<2018-05-04 ven.>,M,1
Gobelins,,Procédure amiable de récupération du domaine mobiliernational.fr via l’AFNIC (obtent...,<2018-05-04 ven.>,M,1
Gobelins,,Droits photographiques : encore des échanges et prises de contacts avec les acteurs ...,<2018-05-04 ven.>,M,1
Gobelins,,Prise de contact avec prestataire de la BDD legacy pour mise en place de l’export auto...,<2018-05-04 ven.>,M,
Gobelins,,Prises de contacts pour la définition d’un corpus pour la campagne photo,<2018-05-04 ven.>,M,
Gobelins,,Récolte des photographies détenues par la com,<2018-05-04 ven.>,D,1
Gobelins,,Finalisation par le service documentation de notre lexique de termes techniques (tap...,<2018-05-04 ven.>,D,1
Gobelins,,"Réception des contenus d’un projet des étudiants en Master, à intégrer à la plateforme.",<2018-05-04 ven.>,D,1
Hopkins,,apprentissage du surf vers royan,<2018-05-04 ven.>,A,
Hopkins,,MAJ dataiku + debuggage,<2018-05-04 ven.>,P,
Hopkins,,création dataset graph-explorer pour 2 autres pays,<2018-05-04 ven.>,P,
Hopkins,,(en cours) afficher la somme totale reçu par une personne sur graph-explorer,<2018-05-04 ven.>,P,
Prédisauvetage,,Préparation des slides pour le copil,<2018-05-04 ven.>,P,
Prédisauvetage,,ETL pour préparer les données CROSS pour l'open data et pour nous,<2018-05-04 ven.>,D,
Prédisauvetage,,Réalisation de graphiques / dashboards statistiques sur Redash,<2018-05-04 ven.>,D,
